type,price,profit,pair,scenario,timeframe,ema1,ema2
SELL,177.62,-104113.801331833,SOLUSDT,StochRSI,1d,14,26
BUY,136.39,,SOLUSDT,StochRSI,1d,14,26
BUY,3.1866,,SOLUSDT,StochRSI,1h,14,26
SELL,3.4366,769.4421764074559,SOLUSDT,StochRSI,1h,14,26
BUY,3.3843,,SOLUSDT,StochRSI,1h,14,26
SELL,3.6763,912.8233711732792,SOLUSDT,StochRSI,1h,14,26
BUY,3.4243,,SOLUSDT,StochRSI,1h,14,26
SELL,3.5655,464.6911603575227,SOLUSDT,StochRSI,1h,14,26
BUY,3.8675,,SOLUSDT,StochRSI,1h,14,26
SELL,3.7165,-490.59345124889296,SOLUSDT,StochRSI,1h,14,26
BUY,3.885,,SOLUSDT,StochRSI,1h,14,26
SELL,3.659,-693.4435221673793,SOLUSDT,StochRSI,1h,14,26
BUY,3.8416,,SOLUSDT,StochRSI,1h,14,26
SELL,4.1279,800.5390263047884,SOLUSDT,StochRSI,1h,14,26
BUY,4.2351,,SOLUSDT,StochRSI,1h,14,26
SELL,4.2186,-62.229513145648525,SOLUSDT,StochRSI,1h,14,26
BUY,4.316,,SOLUSDT,StochRSI,1h,14,26
SELL,4.2058,-314.72418690167615,SOLUSDT,StochRSI,1h,14,26
BUY,4.4292,,SOLUSDT,StochRSI,1h,14,26
SELL,6.157,4419.644269841177,SOLUSDT,StochRSI,1h,14,26
BUY,6.1918,,SOLUSDT,StochRSI,1h,14,26
SELL,6.2505,127.5161511942897,SOLUSDT,StochRSI,1h,14,26
BUY,6.6617,,SOLUSDT,StochRSI,1h,14,26
SELL,9.2524,6165.547067071342,SOLUSDT,StochRSI,1h,14,26
BUY,8.912,,SOLUSDT,StochRSI,1h,14,26
SELL,8.0242,-2229.337288128845,SOLUSDT,StochRSI,1h,14,26
BUY,8.2218,,SOLUSDT,StochRSI,1h,14,26
SELL,10.4325,5307.3810295978365,SOLUSDT,StochRSI,1h,14,26
BUY,10.654,,SOLUSDT,StochRSI,1h,14,26
