type,scenario,backtest_pair,ema_periods,price,profit,timeframe
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",177.86,-2992.3995599162517,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",164.26,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",157.56,-2519.1085523847432,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",149.22,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",144.63,-1839.3897516327197,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",142.73,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",138.12,-1865.4960367694512,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",138.57,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",169.61,11907.525043043344,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",162.22,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",158.37,-1643.3950088737329,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",159.38,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",157.95,-661.2479346353211,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",161.05,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",158.52,-1079.3912732070603,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",172.43,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",196.12,8431.814842887914,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",208.58,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",206.57,-777.3477640801575,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",196.91,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",198.07,312.68799792943173,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",201.5,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",235.56,11727.498523482864,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",245.75,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",249.3,1065.32987594913,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",246.71,nan,1h
